"PRIMARY","COLUMN_NAME","FILE_1_DATA","FILE_2_DATA","IMAGE_NAME"
" 762973","Q32","","A","762973.jpg"
" 762994","Q43","","C","762994.jpg"
" 763026","Q91","B","*","763026.jpg"
" 763069","Q53","*","C","763069.jpg"
" 763150","Q61","","A","763150.jpg"
" 763150","Q67","","B","763150.jpg"
" 763150","Q77","","B","763150.jpg"
" 763150","Q82","","A","763150.jpg"
" 626310","Q77","B","*","626310.jpg"
" 626323","Q77","","B","626323.jpg"
" 626323","Q86","","B","626323.jpg"
" 626276","Q35","","A","626276.jpg"
" 626181","Q94","","C","626181.jpg"
" 626018","Q83","","C","626018.jpg"
" 613376","Q29","B","*","613376.jpg"
" 613352","Q51","*","D","613352.jpg"
" 613308","Q63","D","*","613308.jpg"
" 613315","Q68","C","*","613315.jpg"
" 613276","Q36","","B","613276.jpg"
" 613276","Q43","","D","613276.jpg"
" 613276","Q49","","B","613276.jpg"
" 613276","Q52","","C","613276.jpg"
" 613276","Q63","","A","613276.jpg"
" 613276","Q65","","C","613276.jpg"
" 613276","Q68","","C","613276.jpg"
" 613276","Q73","","C","613276.jpg"
" 613276","Q76","","B","613276.jpg"
" 613276","Q94","","D","613276.jpg"
" 613276","Q95","","A","613276.jpg"
" 613276","Q96","","D","613276.jpg"
" 613276","Q97","","B","613276.jpg"
" 613264","Q82","","B","613264.jpg"
" 613215","Q59","","D","613215.jpg"
" 613190","Q62","","A","613190.jpg"
" 675216","Q61","","D","675216.jpg"
" 675233","Q35","D","*","675233.jpg"
" 675264","Q36","C","*","675264.jpg"
" 675313","Q78","","D","675313.jpg"
" 729067","Q95","","C","729067.jpg"
" 729067","Q96","","C","729067.jpg"
" 729108","Q95","D","","729108.jpg"
" 729207","Q25","","B","729207.jpg"
" 729207","Q70","","A","729207.jpg"
" 729207","Q82","","D","729207.jpg"
" 729160","Q42","","B","729160.jpg"
" 729238","Q85","C","*","729238.jpg"
" 729274","Q32","A","*","729274.jpg"
" 637450","Q82","C","*","637450.jpg"
" 637457","Q98","D","*","637457.jpg"
" 637535","Q16","B","*","637535.jpg"
" 637132","Q63","*","C","637132.jpg"
" 637144","Q34","B","*","637144.jpg"
" 637149","Q98","","A","637149.jpg"
" 637150","Q83","","D","637150.jpg"
" 637250","Q13","B","*","637250.jpg"
" 637257","Q89","D","*","637257.jpg"
" 637258","Q3","","A","637258.jpg"
" 637279","Q55","","B","637279.jpg"
" 637333","Q17","","D","637333.jpg"
" 637372","Q63","","C","637372.jpg"
" 637400","Q25","A","*","637400.jpg"
" 614016","Q23","*","D","614016.jpg"
" 698995","Q33","C","*","698995.jpg"
" 699007","Q96","","A","699007.jpg"
" 699062","Q38","","A","699062.jpg"
" 699115","Q70","*","A","699115.jpg"
" 699176","Q22","A","*","699176.jpg"
" 699270","Q64","","C","699270.jpg"
" 704003","Q53","","A","704003.jpg"
" 703972","Q15","","B","703972.jpg"
" 703976","Q21","A","*","703976.jpg"
" 703976","Q64","","C","703976.jpg"
" 703983","Q26","D","*","703983.jpg"
" 703897","Q49","*","C","703897.jpg"
" 703759","Q36","A","*","703759.jpg"
" 703570","Q75","C","*","703570.jpg"
" 703599","Q33","C","*","703599.jpg"
" 611869","Q90","B","*","611869.jpg"
" 611777","Q70","","C","611777.jpg"
" 611789","Q71","A","","611789.jpg"
" 611803","Q81","*","D","611803.jpg"
" 611712","Q56","C","*","611712.jpg"
" 611688","Q18","","C","611688.jpg"
" 611688","Q99","","C","611688.jpg"
" 611598","Q59","*","D","611598.jpg"
" 704313","Q42","","C","704313.jpg"
" 704304","Q82","C","*","704304.jpg"
" 704282","Q91","","B","704282.jpg"
" 704264","Q56","","D","704264.jpg"
" 704144","Q32","","B","704144.jpg"
" 704094","Q27","*","D","704094.jpg"
" 704416","Q94","A","*","704416.jpg"
" 704407","Q4","","C","704407.jpg"
" 637738","Q47","*","A","637738.jpg"
" 637818","Q82","*","A","637818.jpg"
" 637836","Q42","A","*","637836.jpg"
" 637840","Q13","C","*","637840.jpg"
" 637840","Q31","C","*","637840.jpg"
" 637875","Q61","A","*","637875.jpg"
" 637890","Q87","","A","637890.jpg"
" 615373","Q79","A","*","615373.jpg"
" 615217","Q2","","C","615217.jpg"
" 615311","Q80","*","B","615311.jpg"
" 615340","Q68","","C","615340.jpg"
" 659990","Q83","","A","659990.jpg"
" 659994","Q66","*","A","659994.jpg"
" 659964","Q61","C","*","659964.jpg"
" 659907","Q87","","A","659907.jpg"
" 659874","Q23","D","*","659874.jpg"
" 659800","Q91","","C","659800.jpg"
" 659800","Q92","","B","659800.jpg"
" 659800","Q93","","D","659800.jpg"
" 659800","Q96","","A","659800.jpg"
" 659800","Q97","","B","659800.jpg"
" 659800","Q99","","A","659800.jpg"
" 659800","Q100","","D","659800.jpg"
" 659801","Q96","*","B","659801.jpg"
" 659696","Q26","C","*","659696.jpg"
" 659661","Q75","B","*","659661.jpg"
" 659659","Q52","A","*","659659.jpg"
" 659619","Q65","*","A","659619.jpg"
" 659579","Q68","","D","659579.jpg"
" 659599","Q77","C","*","659599.jpg"
" 659547","Q25","B","*","659547.jpg"
" 659475","Q77","A","*","659475.jpg"
" 727423","Q34","","C","727423.jpg"
" 727378","Q23","D","*","727378.jpg"
" 727323","Q28","C","*","727323.jpg"
" 727330","Q78","A","*","727330.jpg"
" 727254","Q71","C","*","727254.jpg"
" 727588","Q35","C","*","727588.jpg"
" 727522","Q60","","A","727522.jpg"
" 727460","Q71","D","*","727460.jpg"
" 629528","Q25","","A","629528.jpg"
" 629501","Q59","","C","629501.jpg"
" 629520","Q25","","A","629520.jpg"
" 629465","Q25","","C","629465.jpg"
" 629469","Q99","C","*","629469.jpg"
" 629697","Q12","","D","629697.jpg"
" 629634","Q83","","D","629634.jpg"
" 629589","Q70","","D","629589.jpg"
" 672769","Q26","A","*","672769.jpg"
" 672769","Q87","*","B","672769.jpg"
" 672792","Q51","*","C","672792.jpg"
" 672798","Q57","D","*","672798.jpg"
" 672970","Q51","*","D","672970.jpg"
" 672932","Q33","C","*","672932.jpg"
" 672916","Q8","B","*","672916.jpg"
" 761333","Q76","*","D","761333.jpg"
" 761272","Q21","*","C","761272.jpg"
" 761247","Q97","B","*","761247.jpg"
" 761231","Q92","","B","761231.jpg"
" 761198","Q75","D","*","761198.jpg"
" 761180","Q40","*","C","761180.jpg"
" 761127","Q95","D","*","761127.jpg"
" 761095","Q52","*","D","761095.jpg"
" 761050","Q2","","B","761050.jpg"
" 761649","Q48","*","B","761649.jpg"
" 761643","Q20","","C","761643.jpg"
" 761513","Q95","C","*","761513.jpg"
" 761416","Q61","C","*","761416.jpg"
" 761380","Q55","","C","761380.jpg"
" 764408","Q82","A","*","764408.jpg"
" 764420","Q28","C","*","764420.jpg"
" 764469","Q51","D","*","764469.jpg"
" 764483","Q61","C","*","764483.jpg"
" 764545","Q91","B","*","764545.jpg"
" 764518","Q82","","B","764518.jpg"
" 762437","Q54","C","*","762437.jpg"
" 762468","Q36","B","*","762468.jpg"
" 762499","Q29","A","*","762499.jpg"
" 762520","Q57","","C","762520.jpg"
